gender,discipline,result,score
Man,3000 Metres,7:05.53,1400
Man,3000 Metres Short Track,7:09.84,1400
Man,2 Miles,7:38.54,1400
Man,2 Miles Short Track,7:46.34,1400
Man,5000 Metres,12:10.09,1400
Man,5000 Metres Short Track,12:25.19,1400
Man,10000 Metres,25:15.44,1400
Man,3000 Metres,7:05.68,1399
Man,3000 Metres Short Track,7:09.98,1399
Man,2 Miles,7:38.70,1399
Man,2 Miles Short Track,7:46.50,1399
Man,5000 Metres,12:10.35,1399
Man,5000 Metres Short Track,12:25.43,1399
Man,10000 Metres,25:16.03,1399
Man,3000 Metres,7:05.83,1398
Man,3000 Metres Short Track,7:10.13,1398
Man,2 Miles,7:38.86,1398
Man,2 Miles Short Track,7:46.66,1398
Man,5000 Metres,12:10.60,1398
Man,5000 Metres Short Track,12:25.68,1398
Man,10000 Metres,25:16.61,1398
Man,3000 Metres,7:05.98,1397
Man,3000 Metres Short Track,7:10.28,1397
Man,2 Miles,7:39.02,1397
Man,2 Miles Short Track,7:46.81,1397
Man,5000 Metres,12:10.85,1397
Man,5000 Metres Short Track,12:25.93,1397
Man,10000 Metres,25:17.20,1397
Man,3000 Metres,7:06.13,1396
Man,3000 Metres Short Track,7:10.42,1396
Man,2 Miles,7:39.17,1396
Man,2 Miles Short Track,7:46.97,1396
Man,5000 Metres,12:11.11,1396
Man,5000 Metres Short Track,12:26.18,1396
Man,10000 Metres,25:17.78,1396
Man,3000 Metres,7:06.27,1395
Man,3000 Metres Short Track,7:10.57,1395
Man,2 Miles,7:39.33,1395
Man,2 Miles Short Track,7:47.13,1395
Man,5000 Metres,12:11.36,1395
Man,5000 Metres Short Track,12:26.43,1395
Man,10000 Metres,25:18.37,1395
Man,3000 Metres,7:06.42,1394
Man,3000 Metres Short Track,7:10.72,1394
Man,2 Miles,7:39.49,1394
Man,2 Miles Short Track,7:47.29,1394
Man,5000 Metres,12:11.62,1394
Man,5000 Metres Short Track,12:26.68,1394
Man,10000 Metres,25:18.95,1394
Man,3000 Metres,7:06.57,1393
Man,3000 Metres Short Track,7:10.86,1393
Man,2 Miles,7:39.65,1393
Man,2 Miles Short Track,7:47.45,1393
Man,5000 Metres,12:11.87,1393
Man,5000 Metres Short Track,12:26.93,1393
Man,10000 Metres,25:19.54,1393
Man,3000 Metres,7:06.72,1392
Man,3000 Metres Short Track,7:11.01,1392
Man,2 Miles,7:39.81,1392
Man,2 Miles Short Track,7:47.60,1392
Man,5000 Metres,12:12.13,1392
Man,5000 Metres Short Track,12:27.17,1392
Man,10000 Metres,25:20.12,1392
Man,3000 Metres,7:06.87,1391
Man,3000 Metres Short Track,7:11.16,1391
Man,2 Miles,7:39.97,1391
Man,2 Miles Short Track,7:47.76,1391
Man,5000 Metres,12:12.38,1391
Man,5000 Metres Short Track,12:27.42,1391
Man,10000 Metres,25:20.71,1391
Man,3000 Metres,7:07.02,1390
Man,3000 Metres Short Track,7:11.31,1390
Man,2 Miles,7:40.13,1390
Man,2 Miles Short Track,7:47.92,1390
Man,5000 Metres,12:12.63,1390
Man,5000 Metres Short Track,12:27.67,1390
Man,10000 Metres,25:21.29,1390
Man,3000 Metres,7:07.16,1389
Man,3000 Metres Short Track,7:11.45,1389
Man,2 Miles,7:40.29,1389
Man,2 Miles Short Track,7:48.08,1389
Man,5000 Metres,12:12.89,1389
Man,5000 Metres Short Track,12:27.92,1389
Man,10000 Metres,25:21.88,1389
Man,3000 Metres,7:07.31,1388
Man,3000 Metres Short Track,7:11.60,1388
Man,2 Miles,7:40.45,1388
Man,2 Miles Short Track,7:48.23,1388
Man,5000 Metres,12:13.14,1388
Man,5000 Metres Short Track,12:28.17,1388
Man,10000 Metres,25:22.46,1388
Man,3000 Metres,7:07.46,1387
Man,3000 Metres Short Track,7:11.75,1387
Man,2 Miles,7:40.61,1387
Man,2 Miles Short Track,7:48.39,1387
Man,5000 Metres,12:13.40,1387
Man,5000 Metres Short Track,12:28.42,1387
Man,10000 Metres,25:23.05,1387
Man,3000 Metres,7:07.61,1386
Man,3000 Metres Short Track,7:11.89,1386
Man,2 Miles,7:40.77,1386
Man,2 Miles Short Track,7:48.55,1386
Man,5000 Metres,12:13.65,1386
Man,5000 Metres Short Track,12:28.67,1386
Man,10000 Metres,25:23.64,1386
Man,3000 Metres,7:07.76,1385
Man,3000 Metres Short Track,7:12.04,1385
Man,2 Miles,7:40.93,1385
Man,2 Miles Short Track,7:48.71,1385
Man,5000 Metres,12:13.91,1385
Man,5000 Metres Short Track,12:28.92,1385
Man,10000 Metres,25:24.22,1385
Man,3000 Metres,7:07.91,1384
Man,3000 Metres Short Track,7:12.19,1384
Man,2 Miles,7:41.09,1384
Man,2 Miles Short Track,7:48.87,1384
Man,5000 Metres,12:14.16,1384
Man,5000 Metres Short Track,12:29.17,1384
Man,10000 Metres,25:24.81,1384
Man,3000 Metres,7:08.06,1383
Man,3000 Metres Short Track,7:12.34,1383
Man,2 Miles,7:41.25,1383
Man,2 Miles Short Track,7:49.03,1383
Man,5000 Metres,12:14.42,1383
Man,5000 Metres Short Track,12:29.42,1383
Man,10000 Metres,25:25.40,1383
Man,3000 Metres,7:08.21,1382
Man,3000 Metres Short Track,7:12.48,1382
Man,2 Miles,7:41.41,1382
Man,2 Miles Short Track,7:49.18,1382
Man,5000 Metres,12:14.67,1382
Man,5000 Metres Short Track,12:29.67,1382
Man,10000 Metres,25:25.99,1382
Man,3000 Metres,7:08.35,1381
Man,3000 Metres Short Track,7:12.63,1381
Man,2 Miles,7:41.58,1381
Man,2 Miles Short Track,7:49.34,1381
Man,5000 Metres,12:14.93,1381
Man,5000 Metres Short Track,12:29.92,1381
Man,10000 Metres,25:26.57,1381
Man,3000 Metres,7:08.50,1380
Man,3000 Metres Short Track,7:12.78,1380
Man,2 Miles,7:41.74,1380
Man,2 Miles Short Track,7:49.50,1380
Man,5000 Metres,12:15.18,1380
Man,5000 Metres Short Track,12:30.17,1380
Man,10000 Metres,25:27.16,1380
Man,3000 Metres,7:08.65,1379
Man,3000 Metres Short Track,7:12.93,1379
Man,2 Miles,7:41.90,1379
Man,2 Miles Short Track,7:49.66,1379
Man,5000 Metres,12:15.44,1379
Man,5000 Metres Short Track,12:30.42,1379
Man,10000 Metres,25:27.75,1379
Man,3000 Metres,7:08.80,1378
Man,3000 Metres Short Track,7:13.07,1378
Man,2 Miles,7:42.06,1378
Man,2 Miles Short Track,7:49.82,1378
Man,5000 Metres,12:15.69,1378
Man,5000 Metres Short Track,12:30.67,1378
Man,10000 Metres,25:28.34,1378
Man,3000 Metres,7:08.95,1377
Man,3000 Metres Short Track,7:13.22,1377
Man,2 Miles,7:42.22,1377
Man,2 Miles Short Track,7:49.98,1377
Man,5000 Metres,12:15.95,1377
Man,5000 Metres Short Track,12:30.92,1377
Man,10000 Metres,25:28.93,1377
Man,3000 Metres,7:09.10,1376
Man,3000 Metres Short Track,7:13.37,1376
Man,2 Miles,7:42.38,1376
Man,2 Miles Short Track,7:50.14,1376
Man,5000 Metres,12:16.20,1376
Man,5000 Metres Short Track,12:31.17,1376
Man,10000 Metres,25:29.52,1376
Man,3000 Metres,7:09.25,1375
Man,3000 Metres Short Track,7:13.52,1375
Man,2 Miles,7:42.54,1375
Man,2 Miles Short Track,7:50.29,1375
Man,5000 Metres,12:16.46,1375
Man,5000 Metres Short Track,12:31.42,1375
Man,10000 Metres,25:30.10,1375
Man,3000 Metres,7:09.40,1374
Man,3000 Metres Short Track,7:13.66,1374
Man,2 Miles,7:42.70,1374
Man,2 Miles Short Track,7:50.45,1374
Man,5000 Metres,12:16.72,1374
Man,5000 Metres Short Track,12:31.67,1374
Man,10000 Metres,25:30.69,1374
Man,3000 Metres,7:09.55,1373
Man,3000 Metres Short Track,7:13.81,1373
Man,2 Miles,7:42.86,1373
Man,2 Miles Short Track,7:50.61,1373
Man,5000 Metres,12:16.97,1373
Man,5000 Metres Short Track,12:31.92,1373
Man,10000 Metres,25:31.28,1373
Man,3000 Metres,7:09.70,1372
Man,3000 Metres Short Track,7:13.96,1372
Man,2 Miles,7:43.02,1372
Man,2 Miles Short Track,7:50.77,1372
Man,5000 Metres,12:17.23,1372
Man,5000 Metres Short Track,12:32.17,1372
Man,10000 Metres,25:31.87,1372
Man,3000 Metres,7:09.85,1371
